,2005-12-13 23:00:00+00:00
p78109,< 0.50 mc
p78133,< 0.37 b
p79846,< 0.008 mc
p79847,< 0.013 mc
p81552,< 6.0 
p81555,< 0.028 b
p81576,< 0.1 b
p81577,< 0.10 
p81593,< 0.40 
p81595,< 2.0 
p81597,< 0.20 
p81607,< 1.0 
p82081,-15.65
p82082,-78.8
p82085,-10.3
p82303,3070
p82346,< 0.004 
p82625,< 0.510 
p82630,< 0.006 
p82660,< 0.0060 
p82661,< 0.009 
p82662,< 0.0061 mc
p82664,< 0.011 
p82667,< 0.015 
p82668,< 0.0040 
p82670,< 0.016 
p82671,< 0.0030 
p82672,< 0.005 
p82673,< 0.010 
p82674,< 0.020 mc
p82675,< 0.017 
p82676,< 0.0040 
p82677,< 0.021 mc
p82679,< 0.011 
p82680,< 0.041 mc
p82681,< 0.010 
p82682,< 0.0030 
p82683,< 0.022 
p82685,< 0.023 
p82686,< 0.050 mc
p82687,< 0.006 
p85795,< 0.06 b
p90095,643
p90867,< 0.3 
p99111,1
p99114,0.04
p99115,0.05
p99119,0.0
p99832,119
p99833,103
p99834,76.7
p99871,0.0
p99972,893
p99994,112
p99995,93.0
